Año de Adjudicación,Tipo,Área Geográfica,País,ONGD,Siglas ONGD,Título,Código,Importe total,Plurianual (Si/No),nº de anualidades,Año 1ª (o única) anualidad,Importe 1ª (o única) anualidad €,Año 2ª anualidad,Importe 2ª anualidad €,Año 3ª anualidad,Importe 3ª anualidad €,Año 4ª anualidad,Importe 4ª anualidad €
1992,PROYECTO,PAÍSES ÁRABES Y MEDITERRÁNEOS,Mauritania,ASOCIACION CANARIA DE AYUDA Y COOPERACIÓN AL DESARROLLO DE AFRICA E IBEROAMÉRICA,ACACDAI,CENTROS DE ALIMENTACIÓN COMUNITARIAS,,13823.28,No,1,1992,13823.28,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,El Salvador,ASOCIACION PARA LA COOPERACION CON LOS PUEBLOS DE AMERICA CENTRAL,ACPAC,"APOYO A LA INFRAESTRUCTURA Y FUNCIONAMIENTO DE LA UNIDAD DE SALUD ""MARIA GONZÁLEZ"" EN LA COMUNIDAD SEGUNDO MONTES",,26324.33,No,1,1992,26324.33,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,Nicaragua,ASOCIACION CATALANA DE PROFESIONALES PARA LA COOPERACION CON NICARAGUA Y CENTROAMERICA,ACPCN,CURSOS DE ESPECIALIZACIÓN DE POSLICENCIATURA EN CENTROAMÉRICA,,78131.57,No,1,1992,78131.57,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,El Salvador,ASOCIACIÓN PARA LA COOPERACIÓN CON EL SUR LAS SEGOVIAS,ACSUR,DESARROLLO PRODUCTIVO EN CUATRO COMUNIDADES DE LA ZONA SUR-ORIENTAL DE USULUTAN,,97063.45,No,1,1992,97063.45,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,El Salvador,ASOCIACIÓN PARA LA COOPERACIÓN CON EL SUR LAS SEGOVIAS,ACSUR,APOYO A LA PRODUCCIÓN DE GRANOS Y CONSTRUCCIÓN DE UNA FÁBRICA DE CONCENTRADOS PARA ALIMENTACIÓN ANIMAL,,199025.16,No,1,1992,199025.16,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,Guatemala,ASOCIACIÓN PARA LA COOPERACIÓN CON EL SUR LAS SEGOVIAS,ACSUR,PROGRAMA DE APOYO INTEGRAL A DESPLAZADOS INTERNOS DE GUATEMALA DE DOS COOPERATIVAS AGRÍCOLAS INTEGRALES Y DOS CENTROS DE ACOPIO Y DISTRIBUCIÓN DE GRANOS,,102893.27,No,1,1992,102893.27,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,Nicaragua,ASOCIACIÓN PARA LA COOPERACIÓN CON EL SUR LAS SEGOVIAS,ACSUR,PROYECTO DE DESARROLLO INTEGRAL DE RÍO SAN JUAN. DESARROLLO PRODUCTIVO. ALERNATIVAS LOCALES ECOSOSTENIBLES,,135828.74,No,1,1992,135828.74,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,Bolivia,ASOCIACION DE INVESTIGACION Y ESPECIALIZACION SOBRE TEMAS IBEROAMERICANOS,AIETI,INVESTIGACIÓN DE EXPERIENCIAS ALFABEWTIZADORAS Y PROPUESTA DE ESTRATEGIAS ALTERNATIVAS. EN CONSORCIO CON CIDEAL,,30892.02,No,1,1992,30892.02,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,Guatemala,ALTERNATIVA SOLIDARIA PLENTY,ALT SOL PLENTY,AGUA POTABLE Y EDUCACIÓN SANITARIA EN SAN PEDRO SOLOM,,8714.68,No,1,1992,8714.68,0,0,0,0,0,0
1992,PROYECTO,AMÉRICA LATINA,Nicaragua,ALTERNATIVA SOLIDARIA PLENTY,ALT SOL PLENTY,PROGRAMA DE DESARROLLO RURAL INTEGRADO. REGIÓN ATLÁNTICO NORTE. NICARAGUA-1. FASE AUTOCONSTRUCCIÓN DE IVIENDAS. EN CONSORCIO CON INTER-ACCIÓN,,99527.6,No,1,1992,99527.6,0,0,0,0,0,0
