Año de Adjudicación,Tipo,Área Geográfica,País,ONGD,Siglas ONGD,Título,Código,Importe total subvención (€),Plurianual (Si/No),nº de anualidades,Año 1ª (o única) anualidad,Importe 1ª (o única) anualidad €,Año 2ª anualidad,Importe 2ª anualidad €,Año 3ª anualidad,Importe 3ª anualidad €,Año 4ª anualidad,Importe 4ª anualidad €
1992,PROYECTO,PAÍSES ÁRABES Y MEDITERRÁNEOS,Mauritania,ASOCIACION CANARIA DE AYUDA Y COOPERACIÓN AL DESARROLLO DE AFRICA E IBEROAMÉRICA,ACACDAI,CENTROS DE ALIMENTACIÓN COMUNITARIAS,,"13,823.28",No,1,1992,"13,823.28",,,,,,
1992,PROYECTO,AMÉRICA LATINA,El Salvador,ASOCIACION PARA LA COOPERACION CON LOS PUEBLOS DE AMERICA CENTRAL,ACPAC,"APOYO A LA INFRAESTRUCTURA Y FUNCIONAMIENTO DE LA UNIDAD DE SALUD ""MARIA GONZÁLEZ"" EN LA COMUNIDAD SEGUNDO MONTES",,"26,324.33",No,1,1992,"26,324.33",,,,,,
1992,PROYECTO,AMÉRICA LATINA,Nicaragua,ASOCIACION CATALANA DE PROFESIONALES PARA LA COOPERACION CON NICARAGUA Y CENTROAMERICA,ACPCN,CURSOS DE ESPECIALIZACIÓN DE POSLICENCIATURA EN CENTROAMÉRICA,,"78,131.57",No,1,1992,"78,131.57",,,,,,
1992,PROYECTO,AMÉRICA LATINA,El Salvador,ASOCIACIÓN PARA LA COOPERACIÓN CON EL SUR LAS SEGOVIAS,ACSUR,DESARROLLO PRODUCTIVO EN CUATRO COMUNIDADES DE LA ZONA SUR-ORIENTAL DE USULUTAN,,"97,063.45",No,1,1992,"97,063.45",,,,,,
1992,PROYECTO,AMÉRICA LATINA,El Salvador,ASOCIACIÓN PARA LA COOPERACIÓN CON EL SUR LAS SEGOVIAS,ACSUR,APOYO A LA PRODUCCIÓN DE GRANOS Y CONSTRUCCIÓN DE UNA FÁBRICA DE CONCENTRADOS PARA ALIMENTACIÓN ANIMAL,,"199,025.16",No,1,1992,"199,025.16",,,,,,
1992,PROYECTO,AMÉRICA LATINA,Guatemala,ASOCIACIÓN PARA LA COOPERACIÓN CON EL SUR LAS SEGOVIAS,ACSUR,PROGRAMA DE APOYO INTEGRAL A DESPLAZADOS INTERNOS DE GUATEMALA DE DOS COOPERATIVAS AGRÍCOLAS INTEGRALES Y DOS CENTROS DE ACOPIO Y DISTRIBUCIÓN DE GRANOS,,"102,893.27",No,1,1992,"102,893.27",,,,,,
1992,PROYECTO,AMÉRICA LATINA,Nicaragua,ASOCIACIÓN PARA LA COOPERACIÓN CON EL SUR LAS SEGOVIAS,ACSUR,PROYECTO DE DESARROLLO INTEGRAL DE RÍO SAN JUAN. DESARROLLO PRODUCTIVO. ALERNATIVAS LOCALES ECOSOSTENIBLES,,"135,828.74",No,1,1992,"135,828.74",,,,,,
1992,PROYECTO,AMÉRICA LATINA,Bolivia,ASOCIACION DE INVESTIGACION Y ESPECIALIZACION SOBRE TEMAS IBEROAMERICANOS,AIETI,INVESTIGACIÓN DE EXPERIENCIAS ALFABEWTIZADORAS Y PROPUESTA DE ESTRATEGIAS ALTERNATIVAS. EN CONSORCIO CON CIDEAL,,"30,892.02",No,1,1992,"30,892.02",,,,,,
1992,PROYECTO,AMÉRICA LATINA,Guatemala,ALTERNATIVA SOLIDARIA PLENTY,ALT SOL PLENTY,AGUA POTABLE Y EDUCACIÓN SANITARIA EN SAN PEDRO SOLOM,,"8,714.68",No,1,1992,"8,714.68",,,,,,
1992,PROYECTO,AMÉRICA LATINA,Nicaragua,ALTERNATIVA SOLIDARIA PLENTY,ALT SOL PLENTY,PROGRAMA DE DESARROLLO RURAL INTEGRADO. REGIÓN ATLÁNTICO NORTE. NICARAGUA-1. FASE AUTOCONSTRUCCIÓN DE IVIENDAS. EN CONSORCIO CON INTER-ACCIÓN,,"99,527.60",No,1,1992,"99,527.60",,,,,,
1992,PROYECTO,AMÉRICA LATINA,Bolivia,ASOCIACION DE AMIGOS DE DOÑANA,AMIGOS DE DOÑANA,"FORMACIÓN, APOYO INSTITUCIONAL Y ACCIOONES DE CONSERVACIÓN PARA EL ECODESARROLLO EN EL DEPARTAMENTO DE SNATA CRUZ",,"518,072.43",No,1,1992,"518,072.43",,,,,,
1992,PROYECTO,AMÉRICA LATINA,Ecuador,FUNDACION ANESVAD,ANESVAD,CONSTRUCCIÓN DE UN DISPENSARIO MÉDICO,,"30,291.01",No,1,1992,"30,291.01",,,,,,
1992,PROYECTO,ASIA,Filipinas,FUNDACION ANESVAD,ANESVAD,MEJORA Y EQUIPAMIENTO DE HOSPITALES DE LEPROSOS,,"33,656.68",No,1,1992,"33,656.68",,,,,,
1992,PROYECTO,PAÍSES ÁRABES Y MEDITERRÁNEOS,Territorios Palestinos,ASOCIACION PRO DERECHOS HUMANOS DE ESPAÑA,APDHE,CENTRO DE SALUD PRIMARIA EN DEIR ABU MISHA'AL,,"47,479.96",No,1,1992,"47,479.96",,,,,,
1992,PROYECTO,AMÉRICA LATINA,El Salvador,ASOCIACION ANDALUZA POR LA SOLIDARIDAD Y LA PAZ,ASPA,APOYO AL DESARROLLO EN EL SECTOR VIVIENDA PARA LAS COMUNIDADES DE LA ZONA NORTE DE USULUTAN. EN CONSORCIO CON ACPAC,,"325,808.66",No,1,1992,"325,808.66",,,,,,
1992,PROYECTO,AMÉRICA LATINA,Uruguay,ASOCIACION ANDALUZA POR LA SOLIDARIDAD Y LA PAZ,ASPA,TALLER DE CARPINTERIA Y MANUALIDDES PARA JÓVENES DE MONEVIDEOº,,"16,317.48",No,1,1992,"16,317.48",,,,,,
1992,PROYECTO,AMÉRICA LATINA,Colombia y Venezuela,ASOCIACION DE TECNICOS ESPECIALISTAS EN INVESTIGACION Y ESTUDIOS SOBRE LA REALIDAD LATINOAMERICANA (ATELIER),ATELIER,PROMOCIÓN DE LA COOPERACIÓN EMPRESARIAL ENTRE PYMES DE SECTORES DE LA COMUNIDAD DE VALENCIA. DEINICIÓN DE TIPOS DE COOPERACIÓN ENTRE PYMES DEL SECTOR JUEGETE DE LA COMUNIDAD VALENCIANA/COLOMBIA Y VENEZUELA,,"14,135.80",No,1,1992,"14,135.80",,,,,,
1992,PROYECTO,AMÉRICA LATINA,Ecuador,FUNDACION AYUDA EN ACCION,AYUDA EN ACCION,"FOMENTO GANADERO EN LAS COMUNIDADES INDÍGENAS DE CHIMBA, EL CAHUPI Y EUGENIO ESPEJO DEL CANTÓN CAYENBE",,"33,416.27",No,1,1992,"33,416.27",,,,,,
1992,PROYECTO,AMÉRICA LATINA,El Salvador,FUNDACION AYUDA EN ACCION,AYUDA EN ACCION,"MENEJO Y RENOVACIÓN DE 81 HECTÁREAS DE CAFETALES EN EL TABURETE, USULTUAN",,"59,981.01",No,1,1992,"59,981.01",,,,,,
1992,PROYECTO,AMÉRICA LATINA,Perú,FUNDACION AYUDA EN ACCION,AYUDA EN ACCION,CONSTRUCCIÓN CANAL DE RIEGO DE 200 HECTÁREAS EN BAMBAMARCA,,"42,251.15",No,1,1992,"42,251.15",,,,,,
1992,PROYECTO,AMÉRICA LATINA,Chile,FUNDACION CULTURAL PRIVADA CANOVAS DEL CASTILLO,CANOVAS DEL CASTILLO,ASISTENCIA JURÍDICA PAA POBLACIÓN INDÍGENA Y MUJERES,,"64,308.30",No,1,1992,"64,308.30",,,,,,
1992,PROYECTO,ÁFRICA SUBSAHARIANA,Kenia,CARITAS ESPAÑOLA,CARITAS,ESCUELAS TALLER PARA LA COMUNIDAD DE NBUL BUL,,"14,424.29",No,1,1992,"14,424.29",,,,,,
1992,PROYECTO,AMÉRICA LATINA,República Dominicana,CARITAS ESPAÑOLA,CARITAS,SALUD COMUNITAIA Y SANEAMIENTO AMBIENTAL,,"26,985.44",No,1,1992,"26,985.44",,,,,,
1992,PROYECTO,AMÉRICA LATINA,República Dominicana,CARITAS ESPAÑOLA,CARITAS,CRÉDITO ROTATIVO PARA EL FOMENTO AGROPECUARIO SOSTENIBLE,,"150,253.03",No,1,1992,"150,253.03",,,,,,
1992,PROYECTO,AMÉRICA LATINA,El Salvador,FUNDACION CEAR - HABITAFRICA,CEAR,"AUTOCONSTRUCCIÓN DE VIVIENDAS, SANEAMIENTO Y ACTIVIDADES SOCIOEDUCATIVAS EN LA COMUNIDAD DE REPATRIADOS ""PADRE RUTILLO GRANDE""",,"78,792.69",No,1,1992,"78,792.69",,,,,,
1992,PROYECTO,ÁFRICA SUBSAHARIANA,Mozambique,FUNDACION CEAR - HABITAFRICA,CEAR,REFORESTACIÓN Y DESARROLLO DE LAS MASSACAS,,"150,253.03",No,1,1992,"150,253.03",,,,,,
1992,PROYECTO,AMÉRICA LATINA,Chile,CENTRO DE ESTUDIOS Y SOLIDARIDAD CON AMERICA LATINA,CESAL,AMPLIACIÓN DE TALLER AUTOGESTIONADO PARA TRABAJADORES EVENTUALES,,"51,086.03",No,1,1992,"51,086.03",,,,,,
1992,PROYECTO,AMÉRICA LATINA,Honduras,CENTRO DE ESTUDIOS Y SOLIDARIDAD CON AMERICA LATINA,CESAL,PROYECTO DE DESARROLLO AGROPRODUCTIVO EN LA REGI´LN DE YERO,,"66,051.23",No,1,1992,"66,051.23",,,,,,
1992,PROYECTO,ESPAÑA,España,CENTRE DE INFORMACIO I DOCUMENTACIO INTERNACIONALS A BARCELONA,CIDOB,SEGUIMIENTO DE LOS PROYECTOS QUE SE LLEVARÁN A CABO A CARGO A LAS AYUDA SY SUBVENCIONES QUE SE CONCEDAN EN 1992 A PROYECTOS DE COOPERACIÓN AL DESARROLLO. EN CONSORCIO CON HEGOA,,"96,161.94",No,1,1992,"96,161.94",,,,,,
1992,PROYECTO,ESPAÑA,España,CENTRE DE INFORMACIO I DOCUMENTACIO INTERNACIONALS A BARCELONA,CIDOB,SEGUIMIENTO DE PROYECTOS IRPF 1992. EN CONSORCIO CON HEGOA,,"283,377.21",No,1,1992,"283,377.21",,,,,,
1992,PROYECTO,AMÉRICA LATINA,Argentina,"FUNDACION IBEROAMERICA EUROPA. CENTRO DE INVESTIGACION, PROMOCION Y COOPERACION INTERNACIONAL",CIPIE,PROMOCIÓN SOCIOECONÓMICA DE MUJERES DE SECTORES POPULARES DE GRAN BUENOS AIRES,,"62,505.26",No,1,1992,"62,505.26",,,,,,
1992,PROYECTO,AMÉRICA LATINA,El Salvador,"FUNDACION IBEROAMERICA EUROPA. CENTRO DE INVESTIGACION, PROMOCION Y COOPERACION INTERNACIONAL",CIPIE,FOMENTO DE ACTIVIDADES AGROINDUSTRIALES PARA COOPERATIVAS CAMPESINAS,,"238,601.81",No,1,1992,"238,601.81",,,,,,
1992,PROYECTO,ESPAÑA,España,"FUNDACION IBEROAMERICA EUROPA. CENTRO DE INVESTIGACION, PROMOCION Y COOPERACION INTERNACIONAL",CIPIE,PROGRAMA DE SENSIBILIZACIÓN DE LA OPINIÓN PUBLÍCA ESPAÑOLA SOBRE LA PROBLEMÁTICA DE LOS INMIGRANTES DEL TERCER MUNDO Y DE LOS PAÍSES DEL ESTE DE EUROPA EN ESPAÑA Y SU RELACIÓN CON LA COOPERACIÓN AL DESARROLLO,,"23,439.47",No,1,1992,"23,439.47",,,,,,
1992,PROYECTO,AMÉRICA LATINA,Colombia,FUNDACION CODESPA,CODESPA,CREACIÓN DE AMIEMPRESAS EN ANTIOQUÍA,,"120,202.42",No,1,1992,"120,202.42",,,,,,
1992,PROYECTO,AMÉRICA LATINA,Ecuador,FUNDACION CODESPA,CODESPA,MONTAJE DE UN CENTRO DE SERVICIOS BÁSICOS COMUNITARIOS,,"447,754.02",No,1,1992,"447,754.02",,,,,,
1992,PROYECTO,AMÉRICA LATINA,Guatemala,FUNDACION CODESPA,CODESPA,ESCUELA TALLER DE HOSTELERIA,,"122,967.08",No,1,1992,"122,967.08",,,,,,
1992,PROYECTO,AMÉRICA LATINA,Perú,FUNDACION CODESPA,CODESPA,PROYECTO DE AMPLIACIÓN DEL INSTITUTO SUPERIOR PEDAGÓGICO NO ESTATAL SANTO TORIBIO DE MOGRAVIEJO,,"349,668.84",No,1,1992,"349,668.84",,,,,,
1992,PROYECTO,AMÉRICA LATINA,Bolivia,CONCERTACION/S,CONCERTACIÓN/S,PROGRAMA DE DESARROLLO REGIONAL SUBYUNGUEÑO (SUBPROYECTO PRODUCTIVO),,"279,470.63",No,1,1992,"279,470.63",,,,,,
1992,PROYECTO,ESPAÑA,España,COORDINADORA DE ORGANIZACIONES NO GUBERNAMENTALES PARA EL DESARROLLO DE ESPAÑA,COORDINADORA DE ONGD,DISEÑO DE UNA CAMPAÑA DE EDUCACIÓN PARA EL DESARROLLO Y SENSIBILIZACIÓN DE LA OPINIÓN PÚBLICA,,"24,581.40",No,1,1992,"24,581.40",,,,,,
1992,PROYECTO,ESPAÑA,España,COORDINADORA DE ORGANIZACIONES NO GUBERNAMENTALES PARA EL DESARROLLO DE ESPAÑA,COORDINADORA DE ONGD,PROGRAMAS DE ACTIVIDADES ESP0ECÍFICAS DE LA COORDINADORA 1992,,"69,116.39",No,1,1992,"69,116.39",,,,,,
1992,PROYECTO,AMÉRICA LATINA,Bolivia,EDIFICANDO-COMUNIDAD DE NAZARETH,EDIFICANDO,PLAN DE DESARROLLO INTEGRAL DEL CAMPESINADO AYMARA. PROYECTO AYMARA CHOQUENARIA (FASE III),,"894,486.32",No,1,1992,"894,486.32",,,,,,
1992,PROYECTO,AMÉRICA LATINA,Varios,FUNDACION ENTRECULTURAS - FE Y ALEGRIA,ENTRECULTURAS,DISEÑO DE TALLERES DE USO MÚLTIPLE,,"90,512.42",No,1,1992,"90,512.42",,,,,,
