File,registro,fecha,Unidad,proyecto,Solicitante,cantidad-solicitada,cantidad-subvencionada,Paises,Puntos-a,puntos-b,puntos-c,puntos-d
2005-2006.csv,16156,Sep 17 2005,D COOPERACIÓN ÁFRICAASIAEUROPA ORIENTAL,Unidad de Licitación Internacional,Centro de Estudios Económicos y Comerciales(CECO),80000,80000,Magreb y Oriente Medio: Egipto,3,2,2,2
2005-2006.csv,16172,Sep 12 2005,D COOPERACIÓN ÁFRICAASIAEUROPA ORIENTAL,Apoyo al desarrollo y consolidación del Turismo rural en la Provincia de Chefchaouen. Marruecos,Associació Catalana Pel Temps LLiure I La Cultura-ACTLC,194988.84,194988.84,Magreb y Oriente Medio: Marruecos,3,2,2,1
2005-2006.csv,16278,Sep 28 2005,D COOPERACIÓN ÁFRICAASIAEUROPA ORIENTAL,Ayuda complementaria para el expediente nº 1583-04 correspondiente al Curso -GLOBALIZANDOSE-,Centro de Estudios Económicos y Comerciales(CECO),4138.78,4138.78,PECO y CEI: Croacia,3,2,2,2
2005-2006.csv,16491,Sep 21 2005,D COOPERACIÓN CON AMÉRICA LATINA Y EL CARIBE,Apoyo al fortalecimiento municipal y a la descentralización territorial del estado,Fundación para el Desarrollo Local y el Fortalecimiento Municipal e Institucional de Centro América y el Caribe. Fundación DEMUCA,150000,150000,Iberoamérica y Caribe: República Dominicana,3,2,2,3
2005-2006.csv,16520,Sep 21 2005,D RELACIONES CULTURALES Y CIENTÍFICAS,Proyecto jornadas iberoamericanas sobre desarrollo sostenible noviembre 2005,Club UNESCO Plasencia y zona norte de Extremadura,24000,9000,Sin Determinar. General: España,2,2,2,1.5
2005-2006.csv,16573,Sep 21 2005,D COOPERACIÓN ÁFRICAASIAEUROPA ORIENTAL,Equipamiento y dotación de medios a la contraparte local favorecedora de la cooperación para la promoción de la sociedad civil,Cooperativa de Fomento y Desarrollo (COFYDES) Guinea Ecuatorial,58920,58920,África Subsahariana: Guinea Ecuatorial,3,1.5,2,2
2005-2006.csv,16926,Sep 21 2005,D COOPERACIÓN ÁFRICAASIAEUROPA ORIENTAL,Instalación de agua potable,Dominicas Misioneras de la Sagrada Familia Camerún,17687.78,17687.78,África Subsahariana: Camerún,2,2,1.5,2
2005-2006.csv,17111,Sep 27 2005,D COOPERACIÓN ÁFRICAASIAEUROPA ORIENTAL,Asesoramiento para asegurar la participación de los arquitectos en las políticas sociales referentes a habitabilidad básica en Argelia,Consejo Superior de los Colegios de Arquitectos de Espala,60000,0,Magreb y Oriente Medio: Argelia,1.5,0.5,0,1
2005-2006.csv,17112,Sep 22 2005,D COOPERACIÓN ÁFRICAASIAEUROPA ORIENTAL,Asesoramiento para asegurar la participación de los arquitectos en las políticas sociales referentes a habitabilidad básica en Marruecos,Consejo Superior de los Colegios de Arquitectos de Espala,60000,60000,Magreb y Oriente Medio: Marruecos,2,2,2,2
2005-2006.csv,17113,Sep 22 2005,D COOPERACIÓN CON AMÉRICA LATINA Y EL CARIBE,Mejora de la calidad sanitaria y quirúrgica de 1000 enfermos (niños mujeres y ancianos) en situación de extrema pobreza en la zona Caribe,Fundación Cume Para El Desarrollo De Culturas Y Pueblos-CUME,59000,59000,Iberoamérica y Caribe: Cuba,2,2,2,3
