En miles de euros,,,,,,,
,2012,2011,2010,2009,2008,2007,2006
,,,,,,,
Casa Arabe,850000,"1,700,000","2,000,000",,"2,050,000","2,000,000","2,000,000"
Casa África,871250,"1,742,500.00","2,050,000",,"2,050,000","2,000,000","2,000,000"
Casa Sefarad-Israel,435620,871240,"102,500",,"1,025,000","1,000,000","1,000,000"
Casa Asia,"1,021,970.00","20,439,500.00","24,046,500.00",,"2,404,650.00","2,346,000","2,300,000"
Casa América,"1,321,670","2,043,950.00","2,404,650.00",,"2,404,650.00","2,300,000","1,900,000"
Casa Mediterráneo,720000,"2,040,000","2,400,000",,0,0,0
FIAPP,"6,150,500.00","12,301,000","14,471,760.00",,"10,155,550.00","9,500,000","9,000,000"
Fundación colegios mayores MAEC-AECID,348500,697000,820000,,820000,800000,650000
Fundación Residencia de Estudiantes,0,191680,225500,,225500,220000,270000
Fundación Española para la Innovación de la Artesanía,0,119000,140000,,160000,145000,0
Fundación para la Cooperación y Salud Intern. Carlos III,0,"2,001,750.00","2,355,000",,"2,355,000","2,300,000",0
Fundación universidad.es,,,,,,,
UNED,0,510000,600000,,0,0,0
TOTAL,"11,719,510","44,657,620.00","51,615,910.00",0,"23,650,350.00","22,611,000","19,120,000"
